ID,place_id,afe_find_id,Location,Status,Denomination,Issuer,Mint,Date,References,Remarks,Bibliography
4,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidum",No status,Gold,Süddeutsche Kelten,Unidentifizierte Münzstätte,LT C2/D1,,No remarks,"etailed Result








































ID: 4





Picture AFE_3529_A052-10_a.jpgOriginator: RGKLicense: (c) GDKE SpeyerPicture AFE_3531_A052-10_r.jpgOriginator: RGKLicense: (c) GDKE Speyer 




Name
Value


ID4LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumDenominationGoldIssuerSüddeutsche KeltenMintUnidentifizierte MünzstätteDateLT C2/D1ReferencesKellner, Manching, IICWeight7.76CollectionLandesarchäologie SpeyerInventory NumberE2011/0059"
5,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidu",Official,Potin,Leuci,Unidentifizierte Münzstätte,LT D1,"Scheers, Traité, 186 cl. I var.",No remarks,"etailed Result








































ID: 5





Picture AFE_3749_A053-10_a.jpgOriginator: RGKLicense: (c) GDKE SpeyerPicture AFE_3751_A053-10_r.jpgOriginator: RGKLicense: (c) GDKE Speyer 




Name
Value


ID5LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumStatusOfficialDenominationPotinIssuerLeuciMintUnidentifizierte MünzstätteDateLT D1ReferencesScheers, Traité, 186 cl. I var.Obv./Rev.Variante = Ornament unter dem Eber auf der Rs.Weight5.24Heritage officeGDKE.SpeyerCollectionLandesarchäologie SpeyerInventory NumberE2011/0060"
6,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidu",Official,Potin,Senones,Unidentifizierte Münzstätte,LT D1,,No remarks,"etailed Result








































ID: 6





Picture AFE_3753_A055-10_a.jpgOriginator: RGKLicense: (c) GDKE SpeyerPicture AFE_3755_A055-10_r.jpgOriginator: RGKLicense: (c) GDKE Speyer 




Name
Value


ID6LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumStatusOfficialDenominationPotinIssuerSenonesMintUnidentifizierte MünzstätteDateLT D1ReferencesLT, 7417Weight3.79Heritage officeGDKE.SpeyerCollectionLandesarchäologie SpeyerInventory NumberE2011/0062"
7,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidu",Official,Potin,Leuci,Unidentifizierte Münzstätte,LT D1,,No remarks,"etailed Result








































ID: 7





Picture AFE_3761_A056-10_a.jpgOriginator: RGKLicense: (c) GDKE SpeyerPicture AFE_3763_A056-10_r.jpgOriginator: RGKLicense: (c) GDKE Speyer 




Name
Value


ID7LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumStatusOfficialDenominationPotinIssuerLeuciMintUnidentifizierte MünzstätteDateLT D1ReferencesScheers, Traité, 186 cl. IjWeight4.14Heritage officeGDKE.SpeyerCollectionLandesarchäologie SpeyerInventory NumberE2011/0063"
8,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidu",Official,Potin,Leuci,Unidentifizierte Münzstätte,LT D1,,No remarks,"etailed Result








































ID: 8





Picture AFE_3707_A039-10_a.jpgOriginator: RGKLicense: (c) GDKE SpeyerPicture AFE_3709_A039-10_r.jpgOriginator: RGKLicense: (c) GDKE Speyer 




Name
Value


ID8LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumStatusOfficialDenominationPotinIssuerLeuciMintUnidentifizierte MünzstätteDateLT D1ReferencesScheers, Traité, 186 cl. IcWeight4.87Heritage officeGDKE.SpeyerCollectionLandesarchäologie SpeyerInventory NumberE2011/0080"
9,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidu",Official,Potin,Leuci,Unidentifizierte Münzstätte,LT D1,,No remarks,"etailed Result








































ID: 9





Picture AFE_3711_A040-10_a.jpgOriginator: RGKLicense: (c) GDKE SpeyerPicture AFE_3713_A040-10_r.jpgOriginator: RGKLicense: (c) GDKE Speyer 




Name
Value


ID9LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumStatusOfficialDenominationPotinIssuerLeuciMintUnidentifizierte MünzstätteDateLT D1ReferencesScheers, Traité, 186 cl. IdWeight4.25Heritage officeGDKE.SpeyerCollectionLandesarchäologie SpeyerInventory NumberE2011/0081"
10,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidu",Official,Potin,Leuci,Unidentifizierte Münzstätte,LT D1,,No remarks,"etailed Result








































ID: 10





Picture AFE_3715_A041-10_a.jpgOriginator: RGKLicense: (c) GDKE SpeyerPicture AFE_3717_A041-10_r.jpgOriginator: RGKLicense: (c) GDKE Speyer 




Name
Value


ID10LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumStatusOfficialDenominationPotinIssuerLeuciMintUnidentifizierte MünzstätteDateLT D1ReferencesScheers, Traité, 186 cl. IbWeight3.84Heritage officeGDKE.SpeyerCollectionLandesarchäologie SpeyerInventory NumberE2011/0082"
11,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidu",Official,Potin,Leuci,Unidentifizierte Münzstätte,LT D1,,No remarks,"etailed Result








































ID: 11





Picture AFE_3729_A042-10_a.jpgOriginator: RGKLicense: (c) GDKE SpeyerPicture AFE_3731_A042-10_r.jpgOriginator: RGKLicense: (c) GDKE Speyer 




Name
Value


ID11LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumStatusOfficialDenominationPotinIssuerLeuciMintUnidentifizierte MünzstätteDateLT D1ReferencesScheers, Traité, 186 cl. IjWeight4.93Heritage officeGDKE.SpeyerCollectionLandesarchäologie SpeyerInventory NumberE2011/0083"
12,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidu",Official,Potin,Leuci,Unidentifizierte Münzstätte,LT D1,,No remarks,"etailed Result








































ID: 12





Picture AFE_3737_A044-10_a.jpgOriginator: RGKLicense: (c) GDKE SpeyerPicture AFE_3739_A044-10_r.jpgOriginator: RGKLicense: (c) GDKE Speyer 




Name
Value


ID12LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumStatusOfficialDenominationPotinIssuerLeuciMintUnidentifizierte MünzstätteDateLT D1ReferencesScheers, Traité, 186 cl. IWeight2.22Heritage officeGDKE.SpeyerCollectionLandesarchäologie SpeyerInventory NumberE2011/0085"
15,33,3793,"Donnersberg (Donnersbergkreis), Donnersberg Oppidu",Official,Potin,Leuci,Unidentifizierte Münzstätte,LT D1,,No remarks,"etailed Result








































ID: 15





Picture AFE_3663_A020-10_a.jpgOriginator: RGKLicense: Picture AFE_3665_A020-10_r.jpgOriginator: RGKLicense:  




Name
Value


ID15LocationDonnersberg (Donnersbergkreis), Donnersberg OppidumStatusOfficialDenominationPotinIssuerLeuciMintUnidentifizierte MünzstätteDateLT D1ReferencesScheers, Traité, 186 cl. IjRemarksFehlguss?Weight3.31Heritage officeGDKE.SpeyerCollectionLandesarchäologie SpeyerInventory NumberE2011/0025"
