ID,Name,Fundkategorie,Link
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
123,Niedergirmes Hortfund 1990,Schatzfund,iDAI gazetteer
124,Waldgirmes – Römerstadt,,iDAI gazetteer
125,Hunnenring,,iDAI gazetteer
126,Untermettingen Hasenacker,,iDAI gazetteer
127,Lahr?,,iDAI gazetteer
128,"Echzell, Am Kessel",,iDAI gazetteer
129,"Horheim, Lange Fohren",,iDAI gazetteer
130,"Horheim, Linsenboden",,iDAI gazetteer
131,"Horheim, Salzleckenhau",,iDAI gazetteer
132,"Horheim, Bannholz",,iDAI gazetteer
133,"Horheim, Raßbacher Stieg",,iDAI gazetteer
134,"Schwerzen, Wolftal",,iDAI gazetteer
135,"Schwerzen, Krähenbad",,iDAI gazetteer
136,"Schwerzen, Sommerhalde",,iDAI gazetteer
137,"Bad Säckingen, Stammelhof",,iDAI gazetteer
138,"Wanfried-Aue, Fst. 11",,iDAI gazetteer
139,"Wanfried-Aue, Fst. 8",,iDAI gazetteer
140,"Wanfried-Wanfried, Fst. 16",,iDAI gazetteer
141,"Echzell, südw. Friedhof",,iDAI gazetteer
142,"Echzell, nördl. Heinrichswiese",,iDAI gazetteer
143,"Echzell, Lochacker",,iDAI gazetteer
144,"Echzell, westl. Kastell",,iDAI gazetteer
145,"Echzell, südl. Wirrbrücke",,iDAI gazetteer
146,"Echzell, südl. Schwarzteich",,iDAI gazetteer
147,"Echzell, westl. Friedhof",,iDAI gazetteer
148,"Wölfersheim, Heyenheim",,iDAI gazetteer
149,"Florstadt, östl. Kastell",Einzelfund,iDAI gazetteer
150,"Berstadt, westl. Waschbach",,iDAI gazetteer
151,"Echzell, Im Beundegrund",Einzelfund,iDAI gazetteer
152,"Echzell, Heinrichwiese",,iDAI gazetteer
153,"Echzell, Wirrbrücke",,iDAI gazetteer
154,"Echzell, nördl. Kastell",,iDAI gazetteer
155,"Echzell, Bauchweg",,iDAI gazetteer
156,"Echzell, Am Grünberg",,iDAI gazetteer
157,"Echzell, Im Bürgel",,iDAI gazetteer
158,"Echzell, Am Heegweg",,iDAI gazetteer
159,"Berstadt, nördlich Dorfwiese",,iDAI gazetteer
160,"Echzell, südl. Friedhof",,iDAI gazetteer
