ID,name,lat,long
600,Hanshagen (Lkr. Vorpommern-Greifswald),54.0450000, 13.5513400
601,Stilow (Lkr. Vorpommern-Greifswald),54.0890000, 13.5710000
602,Weitenhagen (Lkr. Vorpommern-Greifswald),54.0540000, 13.4167000
603,Bössow (Lkr. Nordwestmecklenburg),53.9180000, 11.2240000
604,Wahrsow (Lkr. Nordwestmecklenburg),53.8280000, 10.8110000
605,Wotenitz (Lkr. Nordwestmecklenburg),53.8360000, 11.1800000
606,Zarrendorf (Lkr. Vorpommern-Rügen),54.2333000, 13.0833000
607,Barth (Lkr. Vorpommern-Rügen),54.3576000, 12.7142000
608,Kloster (Lkr. Vorpommern-Rügen),54.5870000, 13.1060000
609,Kluptow (Lkr. Vorpommern-Rügen),54.4060000, 13.4930000
610,Kniepow (Lkr. Vorpommern-Rügen),54.3460000, 13.3470000
611,Muuks (Lkr. Vorpommern-Rügen),54.3720000, 12.9880000
612,Farpen (Lkr. Nordwestmecklenburg),53.9640000, 11.5440000
613,Hornstorf (Lkr. Nordwestmecklenburg),53.9167000, 11.5333000
614,Gothen (Lkr. Vorpommern-Greifswald),53.9458800, 14.1347700
615,Hohendorf (Lkr. Vorpommern-Greifswald),54.0290300, 13.7308200
616,Kröslin (Lkr. Vorpommern-Greifswald),54.1167000, 13.7667000
617,Lassan (Lkr. Vorpommern-Greifswald),53.9500000, 13.8500000
618,Rankwitz (Lkr. Vorpommern-Greifswald),53.9500000, 13.9333000
619,Voßberg (Lkr. Vorpommern-Greifswald),53.8717900, 13.8795700
22,"Mainz, Zivilsiedlung",50.0009800, 8.2688200
25,Heidetränk Oppidum,50.2210000, 8.5220000
31,Hitzacker-Marwedel,53.1500000, 11.0500000
33,Donnersberg (Donnersbergkreis),49.6251900, 7.9146800
34,Altkönig,50.2120000, 8.4820000
36,Uthleben,51.4333000, 10.8333000
38,Gemünden,50.9667000, 8.9666700
40,Frankfurt-Höchst,50.0960000, 8.5390000
43,Dieburg (allgem.),49.9072700, 8.8432700
76,Alsbach-Hähnlein,49.7460000, 8.6100000
95,Trebur,49.9240000, 8.4090000
131,Wetzlar-Niedergirmes,50.5725100, 8.5020200
135,Echzell,50.3890000, 8.8860000
140,Wölfersheim,50.4000000, 8.8170000
142,Berstadt,50.4260600, 8.8662100
143,Rottweil,48.1678300, 8.6271900
145,Friedberg,50.3300000, 8.7620000
149,Kassel Wolfsanger,51.3380490, 9.5503600
150,Vockerode,51.2100000, 9.9050000
151,Berghofen,51.0050000, 8.6720000
152,Schreufa,51.0850000, 8.7990000
155,Niederdorfelden,50.1930000, 8.8050000
158,Gernsheim,49.7580000, 8.4860000
163,Gernsheim-Allmendfeld,49.7730000, 8.5280000
167,Schmalstede (Lkr. Rendsburg-Eckernförde),54.2000000, 10.0330000
168,Lengerich,52.5540000, 7.5320000
169,Laatzen,52.3150000, 9.7970000
170,Altenwalde,53.8180000, 8.6620000
171,Wiepenkathen,53.5830000, 9.4170000
172,Hemelingen,53.0500000, 8.8960000
173,Wulsdorf,53.5050000, 8.6030000
174,Dargardt (Lkr. Prignitz),53.1640000, 11.6870000
175,Biesenbrow (Lkr. Uckermark),53.1200000, 14.0130000
176,Müllrose (Lkr. Oder-Spree),52.2470000, 14.4180000
177,Blankenburg (Lkr. Uckermark),53.2170000, 13.9360000
178,Divitz (Lkr. Vorpommern-Rügen),54.3250000, 12.6830000
179,Ribnitz (Lkr. Vorpommern-Rügen),53.8500000, 13.7833300
180,Demern (Lkr. Nordwestmecklenburg),53.7420000, 10.9870000
181,Brudersdorf (Lkr. Mecklenburgische Seenplatte),53.9009900, 12.8501300
182,Kittendorf (Lkr. Mecklenburgische Seenplatte),53.6250000, 12.9040000
183,Neustrelitz (Lkr. Mecklenburgische Seenplatte),53.3501000, 13.0672000
184,Radewitz (Lkr. Vorpommern-Greifswald),53.2950000, 14.1550000
185,Wörmlitz (Lkr. Jerichower Land),52.1709300, 11.8448000
186,Parey (Elbe) (Lkr. Jerichower Land),52.3800000, 11.9830000
187,Deersheim (Lkr. Harz),51.9830000, 10.7810000
188,Altenhausen (Lkr. Börde),52.2620000, 11.2540000
189,Bodendorf (Lkr. Börde),52.2880000, 11.3250000
190,Plätz (Lkr. Stendal),52.7380000, 11.8870000
191,Burg (Lkr. Jerichower Land),52.2667300, 11.8631300
192,Gommern (Lkr. Jerichower Land),52.0667000, 11.8333000
193,Schermen (Lkr. Jerichower Land),52.2320600, 11.8138200
194,Stegelitz (Lkr. Jerichower Land),52.1899000, 11.9067600
195,Wahlitz (Lkr. Jerichower Land),52.1037600, 11.7794700
196,Kalbe (Milde) (Lkr. Altmarkkreis Salzwedel ),52.6500000, 11.4000000
197,Genthin (Lkr. Jerichower Land),52.3954000, 12.1550000
198,Gladau (Lkr. Jerichower Land),52.3043300, 12.0909200
199,Danstedt (Lkr. Harz),51.9119100, 10.8863800
200,Dedeleben (Lkr. Harz),52.0324300, 10.8915700
201,Emersleben (Lkr. Harz),51.9300000, 11.1390000
202,Nienhagen (Lkr. Harz),51.9500000, 11.1650000
203,Pabstorf (Lkr. Harz),52.0303200, 10.9590300
204,Schlanstedt (Lkr. Harz),52.0122500, 11.0309600
