,find_number,Name,type_find,lat,long,num_coins,year_found,year_found_end,comments,imported,references,owner,created,hoard?,single?,excavation?,cf_custom_region_vague
0,201,Schmalstede II (Brandgrab 136),Single Find,54.2,10.033,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=201 || http://afe.dainst.org/detailedresult?l=en&link=12794,DAI,06-12-2023,False,False,True,2
1,203,Laatzen (Hortfund),Hoard Find,52.315,9.797,4,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=203 || http://afe.dainst.org/detailedresult?l=en&link=3522 || http://afe.dainst.org/detailedresult?l=en&link=3523 || http://afe.dainst.org/detailedresult?l=en&link=3524 || http://afe.dainst.org/detailedresult?l=en&link=3525,DAI,06-12-2023,True,False,False,2
2,212,Divitz,Single Find,54.325,12.683,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=212 || http://afe.dainst.org/detailedresult?l=en&link=12742,DAI,06-12-2023,False,True,False,2
3,214,Demern,Single Find,53.742,10.987,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=214 || http://afe.dainst.org/detailedresult?l=en&link=12743,DAI,06-12-2023,False,True,False,2
4,216,Kittendorf,Single Find,53.625,12.904,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=216 || http://afe.dainst.org/detailedresult?l=en&link=12747,DAI,06-12-2023,False,False,True,2
5,218,Radewitz,Single Find,53.295,14.155,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=218 || http://afe.dainst.org/detailedresult?l=en&link=12748,DAI,06-12-2023,False,True,False,2
6,221,Deersheim I,Single Find,51.983,10.781,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=221 || http://afe.dainst.org/detailedresult?l=en&link=8373,DAI,06-12-2023,False,False,True,2
7,222,Altenhausen II,Single Find,52.262,11.254,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=222 || http://afe.dainst.org/detailedresult?l=en&link=9285,DAI,06-12-2023,False,True,False,2
8,435,Quedlinburg II,Hoard Find,51.788,11.15,3,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=435 || http://afe.dainst.org/detailedresult?l=en&link=9471 || http://afe.dainst.org/detailedresult?l=en&link=9472 || http://afe.dainst.org/detailedresult?l=en&link=9473,DAI,06-12-2023,False,True,False,2
9,745,Berlin-Friedrichshagen,Single Find,52.45052,13.62463,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=745 || http://afe.dainst.org/detailedresult?l=en&link=6414,DAI,06-12-2023,False,True,False,2
10,786,Kloster,Single Find,54.587,13.106,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=786 || http://afe.dainst.org/detailedresult?l=en&link=5364,DAI,06-12-2023,False,True,False,2
11,799,Warnemünde (suspekt),Single Find,54.177,12.084,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=799 || http://afe.dainst.org/detailedresult?l=en&link=5379,DAI,06-12-2023,False,True,False,2
12,803,Stralsund IV,Single Find,54.30242,13.09284,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=803 || http://afe.dainst.org/detailedresult?l=en&link=5383,DAI,06-12-2023,False,True,False,2
13,809,Lübtheen II,Hoard Find,53.3136,11.0766,3,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=809 || http://afe.dainst.org/detailedresult?l=en&link=5398 || http://afe.dainst.org/detailedresult?l=en&link=5399 || http://afe.dainst.org/detailedresult?l=en&link=5400,DAI,06-12-2023,False,False,False,2
14,826,"""Mecklenburg""",Hoard Find,53.5,12.0,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=826 || http://afe.dainst.org/detailedresult?l=en&link=12896 || http://afe.dainst.org/detailedresult?l=en&link=12897,DAI,06-12-2023,False,True,False,2
15,842,Schwarzenhof (Forst) Fpl. unbek.,Single Find,53.46348,12.79838,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=842 || http://afe.dainst.org/detailedresult?l=en&link=5431,DAI,06-12-2023,False,True,False,2
16,860,"""Müritzgebiet"" - Fundort unbekannt",Single Find,53.48222,12.62333,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=860 || http://afe.dainst.org/detailedresult?l=en&link=12749,DAI,06-12-2023,False,True,False,2
17,864,Neubrandenburg III,Single Find,53.564,13.275,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=864 || http://afe.dainst.org/detailedresult?l=en&link=12750,DAI,06-12-2023,False,True,False,2
18,867,Bautzen II,Single Find,51.18035,14.43494,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=867 || http://afe.dainst.org/detailedresult?l=en&link=12871,DAI,06-12-2023,False,True,False,2
19,876,Holscha (suspekt),Single Find,51.26829,14.34587,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=876 || http://afe.dainst.org/detailedresult?l=en&link=15861,DAI,06-12-2023,False,False,False,2
20,884,Radeberg (suspekt),Hoard Find,51.12015,13.91545,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=884 || http://afe.dainst.org/detailedresult?l=en&link=15864 || http://afe.dainst.org/detailedresult?l=en&link=15865,DAI,06-12-2023,False,False,False,2
21,899,Nauleis,Single Find,51.24901,13.58222,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=899 || http://afe.dainst.org/detailedresult?l=en&link=6476,DAI,06-12-2023,False,True,False,2
22,915,Sörnewitz (Hortfund?),Single Find,51.13719,13.52095,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=915 || http://afe.dainst.org/detailedresult?l=en&link=4756,DAI,06-12-2023,True,False,False,2
23,927,Zittau I,Single Find,50.9078,14.8011,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=927 || http://afe.dainst.org/detailedresult?l=en&link=6502,DAI,06-12-2023,False,True,False,2
24,928,Zittau II,Single Find,50.9078,14.8011,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=928 || http://afe.dainst.org/detailedresult?l=en&link=6503,DAI,06-12-2023,False,False,False,2
25,939,Striesen (Hortfund?),Hoard Find,51.04809,13.78973,8,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=939 || http://afe.dainst.org/detailedresult?l=en&link=6515 || http://afe.dainst.org/detailedresult?l=en&link=6516 || http://afe.dainst.org/detailedresult?l=en&link=6517 || http://afe.dainst.org/detailedresult?l=en&link=6518 || http://afe.dainst.org/detailedresult?l=en&link=6519 || http://afe.dainst.org/detailedresult?l=en&link=6520 || http://afe.dainst.org/detailedresult?l=en&link=6521 || http://afe.dainst.org/detailedresult?l=en&link=6522,DAI,06-12-2023,True,False,False,2
26,967,Zwenkau IV,Single Find,51.2172,12.3144,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=967 || http://afe.dainst.org/detailedresult?l=en&link=6548,DAI,06-12-2023,False,True,False,2
27,972,Dehnitz,Single Find,51.35013,12.73436,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=972 || http://afe.dainst.org/detailedresult?l=en&link=6553,DAI,06-12-2023,False,True,False,2
28,980,Leipzig-Knauthain,Single Find,51.27001,12.30183,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=980 || http://afe.dainst.org/detailedresult?l=en&link=6561,DAI,06-12-2023,False,True,False,2
29,1038,Niebüll (Schatzfund),Hoard Find,54.787,8.829,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=1038 || http://afe.dainst.org/detailedresult?l=en&link=5660 || http://afe.dainst.org/detailedresult?l=en&link=5661 || http://afe.dainst.org/detailedresult?l=en&link=5662,DAI,06-12-2023,True,False,False,2
30,1038,Niebüll (Schatzfund),Single Find,54.787,8.829,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=1038 || http://afe.dainst.org/detailedresult?l=en&link=5660 || http://afe.dainst.org/detailedresult?l=en&link=5661 || http://afe.dainst.org/detailedresult?l=en&link=5662,DAI,06-12-2023,True,False,False,2
31,1050,Fehmarn II (Schatzfund?),Hoard Find,54.433,11.2,3,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=1050 || http://afe.dainst.org/detailedresult?l=en&link=5500 || http://afe.dainst.org/detailedresult?l=en&link=5501 || http://afe.dainst.org/detailedresult?l=en&link=5502,DAI,06-12-2023,False,False,False,2
32,1965,Bückeburg (Hortfund) II,Hoard Find,52.261,9.049,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=1965 || http://afe.dainst.org/detailedresult?l=en&link=10215 || http://afe.dainst.org/detailedresult?l=en&link=10216,DAI,06-12-2023,True,False,False,2
33,2259,Altkönig,Single Find,50.212,8.482,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=2259 || http://afe.dainst.org/detailedresult?l=en&link=289,DAI,06-12-2023,False,True,False,2
